"CountryCode","SeriesCode","DESCRIPTION",
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ABW","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. Arrivals by air.",
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ABW","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.NET.BBND","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ABW","IT.CEL.SETS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.MLT.MAIN","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ABW","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ABW","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ABW","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ABW","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AFG","IT.NET.BBND.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AFG","MS.MIL.XPND.CD","2004 SIPRI estimates.",
"AFG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AFG","IT.MLT.MAIN.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"AFG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AFG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AFG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","MS.MIL.XPND.CN","2004 SIPRI estimates.",
"AFG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AFG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","IT.MLT.MAIN","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.NET.BBND","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AFG","IT.CEL.SETS.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","MS.MIL.XPND.ZS","2004 SIPRI estimates.",
"AFG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","IT.CEL.SETS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AFG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2018 are based on reports provided by the country. Short-term debt data for 2018 are based on reports provided by the country. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief.",
"AFG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AGO","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","IT.MLT.MAIN","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","IT.NET.BBND","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2001: country data.",
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AGO","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data  and long-term private nonguaranteed debt data for 2018 are based on reports provided by the country.  Short-term debt data for 2018 are based on reports provided by the country.",
"AGO","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AGO","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AGO","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AGO","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AGO","IT.CEL.SETS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.ARVL","Arrivals of non-resident tourists at national borders.",
"AGO","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.DPRT","Departures - trips abroad by resident tourists.",
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AGO","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AGO","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat",
"ALB","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. Excluding nationals residing abroad.",
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ALB","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ALB","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2018 are based on reports provided by the country. Short-term debt data for 2018 are sourced by Central Bank of Albania.",
"ALB","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ALB","ST.INT.DPRT","Departures - trips abroad by resident visitors.",
"ALB","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AND","SP.DYN.TFRT.IN","Data source: Eurostat",
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AND","SP.DYN.CDRT.IN","Data source: Eurostat",
"AND","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.",
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"AND","SP.DYN.CBRT.IN","Data source: Eurostat",
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARE","ST.INT.TVLX.CD","Compiled from data reported by the Central Bank.",
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.ZS","1997-2014 SIPRI estimates.",
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","ST.INT.RCPT.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad.",
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates.",
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARE","ST.INT.XPND.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E.",
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","ST.INT.TVLR.CD","Compiled from data reported by the Central Bank.",
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
